Indicatif,Pays,Drapeau,Code ISO
+1,Canada,🇨🇦,CA
+1,États-Unis (USA),🇺🇸,US
+1242,Bahamas,🇧🇸,BS
+1246,Barbade,🇧🇧,BB
+1264,Anguilla,🇦🇮,AI
+1268,Antigua-et-Barbuda,🇦🇬,AG
+1284,Îles Vierges britanniques,🇻🇬,VG
+1340,Îles Vierges américaines,🇻🇮,VI
+1345,Îles Caïmans,🇰🇾,KY
+1441,Bermudes,🇧🇲,BM
+1473,Grenade,🇬🇩,GD
+1649,Îles Turques-et-Caïques,🇹🇨,TC
+1664,Montserrat,🇲🇸,MS
+1670,Îles Mariannes du Nord,🇲🇵,MP
+1671,Guam,🇬🇺,GU
+1684,Samoa américaines,🇦🇸,AS
+1721,Sint Maarten (partie néerlandaise),🇸🇽,SX
+1758,Sainte-Lucie,🇱🇨,LC
+1767,Dominique,🇩🇲,DM
+1784,Saint-Vincent-et-les-Grenadines,🇻🇨,VC
+1787,Porto Rico,🇵🇷,PR
+939,Porto Rico,🇵🇷,PR
+1808,Hawaï (USA),🇺🇸,US
+1809,République dominicaine,🇩🇴,DO
+829,République dominicaine,🇩🇴,DO
+849,République dominicaine,🇩🇴,DO
+1868,Trinité-et-Tobago,🇹🇹,TT
+1869,Saint-Christophe-et-Niévès,🇰🇳,KN
+1876,Jamaïque,🇯🇲,JM
+658,Jamaïque,🇯🇲,JM
+33,France,🇫🇷,FR
+49,Allemagne,🇩🇪,DE
